,home_loc,school_loc,home_latlng,school_latlng,home_lat,home_lng,school_lat,school_lng
95,"Suwanee, GA ","Los Angeles, California","[34.0514898, -84.0712997]","[34.0522342, -118.2436849]",34.0514898,-84.0712997,34.0522342,-118.2436849
96,"Manor, TX ","Austin, Texas","[30.3407629, -97.55694559999999]","[30.267153, -97.7430608]",30.3407629,-97.5569456,30.267153,-97.7430608
97,"New Orleans, LA ","Austin, Texas","[29.95106579999999, -90.0715323]","[30.267153, -97.7430608]",29.9510658,-90.0715323,30.267153,-97.7430608
98,"Nacogdoches, TX ","Austin, Texas","[31.6035129, -94.6554874]","[30.267153, -97.7430608]",31.6035129,-94.6554874,30.267153,-97.7430608
99,"Arlington, TX ","Austin, Texas","[32.735687, -97.10806559999999]","[30.267153, -97.7430608]",32.735687,-97.1080656,30.267153,-97.7430608
100,"San Jose, CA ","Austin, Texas","[37.3382082, -121.8863286]","[30.267153, -97.7430608]",37.3382082,-121.8863286,30.267153,-97.7430608
101,"Houston, TX ","Austin, Texas","[29.7604267, -95.3698028]","[30.267153, -97.7430608]",29.7604267,-95.3698028,30.267153,-97.7430608
102,"Mesquite, TX ","Austin, Texas","[32.76679550000001, -96.5991593]","[30.267153, -97.7430608]",32.7667955,-96.5991593,30.267153,-97.7430608
103,"Euless, TX ","Austin, Texas","[32.8370727, -97.08195409999999]","[30.267153, -97.7430608]",32.8370727,-97.0819541,30.267153,-97.7430608
104,"Katy, TX ","Austin, Texas","[29.7857853, -95.8243956]","[30.267153, -97.7430608]",29.7857853,-95.8243956,30.267153,-97.7430608
105,"Lewisville, TX ","Austin, Texas","[33.046233, -96.994174]","[30.267153, -97.7430608]",33.046233,-96.994174,30.267153,-97.7430608
106,"Fresno, CA ","Norman, Oklahoma","[36.7468422, -119.7725868]","[35.2225668, -97.4394777]",36.7468422,-119.7725868,35.2225668,-97.4394777
107,"Waxhaw, NC ","Norman, Oklahoma","[34.9245935, -80.7434019]","[35.2225668, -97.4394777]",34.9245935,-80.7434019,35.2225668,-97.4394777
108,"Patterson, LA ","Norman, Oklahoma","[29.6932641, -91.3020502]","[35.2225668, -97.4394777]",29.6932641,-91.3020502,35.2225668,-97.4394777
109,"Lawrence, KS ","Norman, Oklahoma","[38.9716689, -95.2352501]","[35.2225668, -97.4394777]",38.9716689,-95.2352501,35.2225668,-97.4394777
110,"Pittsburg, CA ","Norman, Oklahoma","[38.0279762, -121.8846806]","[35.2225668, -97.4394777]",38.0279762,-121.8846806,35.2225668,-97.4394777
111,"Rancho Cucamonga, CA","Norman, Oklahoma","[34.10639889999999, -117.5931084]","[35.2225668, -97.4394777]",34.1063989,-117.5931084,35.2225668,-97.4394777
112,"Downers Grove, IL ","Norman, Oklahoma","[41.8089191, -88.01117459999999]","[35.2225668, -97.4394777]",41.8089191,-88.0111746,35.2225668,-97.4394777
113,"Macon, MS ","Starkville, Mississippi","[33.1054039, -88.5608767]","[33.4503998, -88.81838719999999]",33.1054039,-88.5608767,33.4503998,-88.8183872
114,"Greenwood, MS","Starkville, Mississippi","[33.5162315, -90.1795281]","[33.4503998, -88.81838719999999]",33.5162315,-90.1795281,33.4503998,-88.8183872
115,"Sugar Hill, GA ","Auburn, Alabama","[34.1064895, -84.0335197]","[32.6098566, -85.48078249999999]",34.1064895,-84.0335197,32.6098566,-85.4807825
116,"Greenville, AL ","Auburn, Alabama","[31.8295972, -86.6177517]","[32.6098566, -85.48078249999999]",31.8295972,-86.6177517,32.6098566,-85.4807825
